<b>mettre</b>	to put
<div style='font-weight: bold;'>tout à fait</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>loc adv</div>	<div class=centered-block> complètement, entièrement </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cette réponse est tout à fait correcte.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>quite, completely, absolutely</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>complètement, entièrement</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>loc adv</div> 	<div style='font-weight: bold;'>tout à fait</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cette réponse est tout à fait correcte.</div>
<div style='font-weight: bold;'>communauté</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> personnes partageant des caractères communs </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Nous faisons partie de la communauté française de ce pays.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>community</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>personnes partageant des caractères communs</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>communauté</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Nous faisons partie de la communauté française de ce pays.</div>
<div style='font-weight: bold;'>promouvoir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div>	<div class=centered-block> nommer,&nbsp;mettre en avant </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Louis a été promu directeur.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>promote</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>nommer,&nbsp;mettre en avant</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div> 	<div style='font-weight: bold;'>promouvoir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Louis a été promu directeur.</div>
<div style='font-weight: bold;'>religieux</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adj</div>	<div class=centered-block> de la religion </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Nous observons encore quelques rites religieux.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>religious</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>de la religion</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adj</div> 	<div style='font-weight: bold;'>religieux</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Nous observons encore quelques rites religieux.</div>
<div style='font-weight: bold;'>cohérence</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> liaison, rapport étroit d'idées qui s'accordent entre elles&nbsp;; absence de contradiction </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce texte manque de cohérence.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>coherence,&nbsp;consistency</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>liaison, rapport étroit d'idées qui s'accordent entre elles&nbsp;; absence de contradiction</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>cohérence</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce texte manque de cohérence.</div>
<div style='font-weight: bold;'>puisque</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>conj</div>	<div class=centered-block> dès l'instant où, du moment que… </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Puisque vous insistez, je viendrai.&nbsp;Puisque vous êtes ici, restez à dîner&nbsp;!</div> <br/> <div style='font-family: Arial; font-size: 16px;'>since, because, as</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>dès l'instant où, du moment que…</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>conj</div> 	<div style='font-weight: bold;'>puisque</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Puisque vous insistez, je viendrai.&nbsp;Puisque vous êtes ici, restez à dîner&nbsp;!</div>
<div style='font-weight: bold;'>dehors</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div>	<div class=centered-block> hors du lieu, à l'extérieur </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Il fait beau, les enfants jouent dehors.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>outside, outdoors, out</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>hors du lieu, à l'extérieur</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div> 	<div style='font-weight: bold;'>dehors</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Il fait beau, les enfants jouent dehors.</div>
<div style='font-weight: bold;'>hors</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div>	<div class=centered-block> sans tenir compte de&nbsp;[qch] </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce loyer est de 700 euros hors charges.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>without, not including; beyond, out of, excluding</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>sans tenir compte de&nbsp;[qch]</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div> 	<div style='font-weight: bold;'>hors</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce loyer est de 700 euros hors charges.</div>
<div style='font-weight: bold;'>mordre</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div>	<div class=centered-block> planter ses dents dans&nbsp;[qch] </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>N'ayez pas peur, ce chien ne mord pas.&nbsp;<br>On dit qu'Ève mordit la pomme.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>bite</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>planter ses dents dans&nbsp;[qch]</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div> 	<div style='font-weight: bold;'>mordre</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>N'ayez pas peur, ce chien ne mord pas.&nbsp;<br>On dit qu'Ève mordit la pomme.</div>
<div style='font-weight: bold;'>manquer&nbsp;[qch/qqn]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div>	<div class=centered-block> rater </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>J'ai manqué l'avion. Tu as manqué une occasion de te taire. Tu as manqué ton frère, il vient de repartir.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>miss</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>rater</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div> 	<div style='font-weight: bold;'>manquer&nbsp;[qch/qqn]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>J'ai manqué l'avion. Tu as manqué une occasion de te taire. Tu as manqué ton frère, il vient de repartir.</div>
<div style='font-weight: bold;'>manquer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div>	<div class=centered-block> faire défaut </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Sur la table, le beurre manque.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>be missing, be lacking</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>faire défaut</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div> 	<div style='font-weight: bold;'>manquer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Sur la table, le beurre manque.</div>
<div style='font-weight: bold;'>dessiner</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div>	<div class=centered-block> pratiquer l'art du dessin </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cet artiste dessine très bien.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>draw</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>pratiquer l'art du dessin</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div> 	<div style='font-weight: bold;'>dessiner</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cet artiste dessine très bien.</div>
<div style='font-weight: bold;'>puer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div>	<div class=centered-block> sentir mauvais </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce camembert pue !<br>Cette affaire pue !</div> <br/> <div style='font-family: Arial; font-size: 16px;'>stink, smell bad</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>sentir mauvais</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vi</div> 	<div style='font-weight: bold;'>puer</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ce camembert pue !<br>Cette affaire pue !</div>
<div style='font-weight: bold;'>raison</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> cause </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Personne ne connaît la raison de son départ.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>reason</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>cause</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>raison</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Personne ne connaît la raison de son départ.</div>
<div style='font-weight: bold;'>sinon</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>conj</div>	<div class=centered-block> autrement, sans quoi </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Lève-toi sinon tu seras en retard.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>otherwise</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>autrement, sans quoi</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>conj</div> 	<div style='font-weight: bold;'>sinon</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Lève-toi sinon tu seras en retard.</div>
<div style='font-weight: bold;'>astuce</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> truc </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Voici quelques astuces pour bien ranger votre frigo. Je n'arrive pas à ouvrir cette boîte, il doit y avoir une astuce !</div> <br/> <div style='font-family: Arial; font-size: 16px;'>trick, tip, hack</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>truc</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>astuce</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Voici quelques astuces pour bien ranger votre frigo. Je n'arrive pas à ouvrir cette boîte, il doit y avoir une astuce !</div>
<div style='font-weight: bold;'>domaine</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> compétence d'une institution </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cette étude est du domaine de la médecine.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>field, area, sector, domain</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>compétence d'une institution</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>domaine</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Cette étude est du domaine de la médecine.</div>
<div style='font-weight: bold;'>consister en&nbsp;[qch]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr ind</div>	<div class=centered-block> être composé de </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>L'appartement consiste en une chambre, une cuisine et une salle de bain.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>comprise,&nbsp;consist of&nbsp;[sth]</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>être composé de</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr ind</div> 	<div style='font-weight: bold;'>consister en&nbsp;[qch]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>L'appartement consiste en une chambre, une cuisine et une salle de bain.</div>
<div style='font-weight: bold;'>tenue</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> vêtements portés </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Il faut que je m'achète une nouvelle tenue pour le mariage de ma sœur. Les soldats de cette armée ont une drôle de tenue.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>outfit, clothes</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>vêtements portés</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>tenue</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Il faut que je m'achète une nouvelle tenue pour le mariage de ma sœur. Les soldats de cette armée ont une drôle de tenue.</div>
Nous partirons <span class=cloze>[...]</span> voiture. <br/> <br/> <small>prép</small>	Nous partirons <span class=cloze>en</span> voiture. <br/> <br/> <small>prép</small> <br> <br/> indique un moyen
J'ai acheté un beau foulard <span class=cloze>[...]</span> soie. <br/> <br/> <small>prép</small>	J'ai acheté un beau foulard <span class=cloze>en</span> soie. <br/> <br/> <small>prép</small> <br> <br/> indique la matière
Nous habitons <span class=cloze>[...]</span> ville. <br/> <br/> <small>prép</small>	Nous habitons <span class=cloze>en</span> ville. <br/> <br/> <small>prép</small> <br> <br/> indique une localisation
J'ai fait du gâteau : tu <span class=cloze>[...]</span> veux ?&nbsp; <br/> <br/> <small>pron</small>	J'ai fait du gâteau : tu <span class=cloze>en</span> veux ?&nbsp; <br/> <br/> <small>pron</small> <br> <br/> de cela
Tu vas à la fête de Sophie ? - Je n'<span class=cloze>[...]</span> sais rien. <br/> <br/> <small>pron</small>	Tu vas à la fête de Sophie ? - Je n'<span class=cloze>en</span> sais rien. <br/> <br/> <small>pron</small> <br> <br/> de cela
Mon collègue est encore à Paris, il n'<span class=cloze>[...]</span> est pas parti. <br/> <br/> <small>adv</small>	Mon collègue est encore à Paris, il n'<span class=cloze>en</span> est pas parti. <br/> <br/> <small>adv</small> <br> <br/> de là
<span class=cloze>[...]</span>&nbsp;indique da durée entre une action termiée et le moment où l'on parle. <br/> <br/> <small>loc v impers</small>	<span class=cloze>Il y a</span>&nbsp;indique da durée entre une action termiée et le moment où l'on parle. <br/> <br/> <small>loc v impers</small> <br> <br/> J'ai vu ce film il y a cinq ans.
<span class=cloze>[...]</span> indique la durée entre le moment où l'on parle et une action future. <br/> <br/> <small>prép</small>	<span class=cloze>Dans</span> indique la durée entre le moment où l'on parle et une action future. <br/> <br/> <small>prép</small> <br> <br/> Nous sortons de cours dans deux heures.
Avec <i>il y a</i>, le verbe est conjugué au <span class=cloze>[...]</span>. <br/> <br/> <small>loc v impers</small>	Avec <i>il y a</i>, le verbe est conjugué au <span class=cloze>passé composé</span>. <br/> <br/> <small>loc v impers</small> <br> <br/> Bruno est rentré de voyage il y a 3 mois.
Avec <i>dans</i>, le verbe est conjugué au <span class=cloze>[...]</span>. <br/> <br/> <small>prép</small>	Avec <i>dans</i>, le verbe est conjugué au <span class=cloze>présent ou au futur</span>. <br/> <br/> <small>prép</small> <br> <br/> Clara va partir dans deux mois.
Pose <span class=cloze>[...]</span> livres sur la table. <br/> <br/> <small>adj pl</small>	Pose <span class=cloze>ces</span> livres sur la table. <br/> <br/> <small>adj pl</small> <br> <br/> 
<span class=cloze>[...]</span> livre et <span class=cloze>[...]</span> album sont vendus 10 euros. <br/> <br/> <small>adj</small>	<span class=cloze>Ce</span> livre et <span class=cloze>cet</span> album sont vendus 10 euros. <br/> <br/> <small>adj</small> <br> <br/> 
<span class=cloze>[...]</span> femme à côté de moi est vraiment incroyable. <br/> <br/> <small>adj</small>	<span class=cloze>Cette</span> femme à côté de moi est vraiment incroyable. <br/> <br/> <small>adj</small> <br> <br/> 
Paul a mangé <span class=cloze>[...]</span> le gâteau. <span class=cloze>[...]</span> mes amies sont venues à mon mariage. <br/> <br/> <small>adj ind</small>	Paul a mangé <span class=cloze>tout</span> le gâteau. <span class=cloze>Toutes</span> mes amies sont venues à mon mariage. <br/> <br/> <small>adj ind</small> <br> <br/> 
<span class=cloze>[...]</span> <b>les 14 juillet</b>, il y a un feu d'artifices sur le lac. <br/> <br/> <small>expr</small>	<span class=cloze>Tous</span> <b>les 14 juillet</b>, il y a un feu d'artifices sur le lac. <br/> <br/> <small>expr</small> <br> <br/> 
<div style='font-weight: bold;'>pas</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> mouvement pour marcher </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Faites deux pas en avant. La vieille dame allait à petits pas.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>step</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>mouvement pour marcher</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>pas</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Faites deux pas en avant. La vieille dame allait à petits pas.</div>
<span class=cloze>[...]</span> et <span class=cloze>[...]</span> sont utilisés devant les noms de ville. <br/> <br/> <small>prép</small>	<span class=cloze>À</span> et <span class=cloze>de</span> sont utilisés devant les noms de ville. <br/> <br/> <small>prép</small> <br> <br/> 
Devant un nom de pays féminin ou qui commence par une voyelle, on utilise <span class=cloze>[...]</span> ou <span class=cloze>[...]</span>. <br/> <br/> <small>prép</small>	Devant un nom de pays féminin ou qui commence par une voyelle, on utilise <span class=cloze>en</span> ou <span class=cloze>de</span>. <br/> <br/> <small>prép</small> <br> <br/> 
<div style='font-weight: bold;'>là-bas</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div>	<div class=centered-block> plus loin que là </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Là-bas, au-delà des montagnes, vivent des gens heureux.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>over there</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>plus loin que là</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div> 	<div style='font-weight: bold;'>là-bas</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Là-bas, au-delà des montagnes, vivent des gens heureux.</div>
<div style='font-weight: bold;'>là</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div>	<div class=centered-block> indique un lieu plus loin qu'ici </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ne mets pas ce vase ici mais là.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>there</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>indique un lieu plus loin qu'ici</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adv</div> 	<div style='font-weight: bold;'>là</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Ne mets pas ce vase ici mais là.</div>
<div style='font-weight: bold;'>sur</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div>	<div class=centered-block> marque une position </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Marche sur le trottoir, pas sur la route ! Désolé, je n'ai pas d'argent sur moi.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>on</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>marque une position</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div> 	<div style='font-weight: bold;'>sur</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Marche sur le trottoir, pas sur la route ! Désolé, je n'ai pas d'argent sur moi.</div>
<div style='font-weight: bold;'>dans</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div>	<div class=centered-block> à l'intérieur d'un lieu ;&nbsp;indique le contenu </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>La voiture est dans le garage.&nbsp;<br>Dans ce potage, il y a de la tomate.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>in</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>à l'intérieur d'un lieu ;&nbsp;indique le contenu</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>prép</div> 	<div style='font-weight: bold;'>dans</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>La voiture est dans le garage.&nbsp;<br>Dans ce potage, il y a de la tomate.</div>
<span class=cloze>[...]</span> remplace un nom de personne ou de chose précédé d'une expression de quantité. <br/> <br/> <small>pronom</small>	<span class=cloze>En</span> remplace un nom de personne ou de chose précédé d'une expression de quantité. <br/> <br/> <small>pronom</small> <br> <br/> J'ai fait du gâteau : tu en veux ?
En est placé <span class=cloze>[...]</span>. <br/> <br/> <small>pron</small>	En est placé <span class=cloze>devant le verbe ou devant l'auxiliaire</span>. <br/> <br/> <small>pron</small> <br> <br/> Il a invité combien d'amis ? - Il en a invité sept.
Quand il y a deux verbes, en est placé <span class=cloze>[...]</span> <br/> <br/> <small>pron</small>	Quand il y a deux verbes, en est placé <span class=cloze>devant l'infinitif.</span> <br/> <br/> <small>pron</small> <br> <br/> Il va en inviter trois.
<div style='font-weight: bold;'>prévenir&nbsp;[qqn]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div>	<div class=centered-block> annoncer à l'avance </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Si tu comptes passer me voir à Paris, préviens-moi pour que je puisse m'organiser.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>let&nbsp;[sb]&nbsp;know, warn</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>annoncer à l'avance</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div> 	<div style='font-weight: bold;'>prévenir&nbsp;[qqn]</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Si tu comptes passer me voir à Paris, préviens-moi pour que je puisse m'organiser.</div>
<div style='font-weight: bold;'>abeille</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> insecte pollinisateur </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les abeilles produisent le miel.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>bee</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>insecte pollinisateur</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>abeille</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les abeilles produisent le miel.</div>
<div style='font-weight: bold;'>chouette</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> oiseau nocturne </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>La chouette hulule dans la forêt.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>owl</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>oiseau nocturne</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>chouette</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>La chouette hulule dans la forêt.</div>
<div style='font-weight: bold;'>corbeau</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> oiseau noir </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les corbeaux chassent souvent les pies.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>crow</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>oiseau noir</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>corbeau</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les corbeaux chassent souvent les pies.</div>
<div style='font-weight: bold;'>cygne</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> Grand oiseau palmipède, à plumage blanc (rarement noir), à long cou flexible. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les enfants vont au lac donner du pain aux cygnes.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>swan</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>Grand oiseau palmipède, à plumage blanc (rarement noir), à long cou flexible.</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>cygne</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les enfants vont au lac donner du pain aux cygnes.</div>
<div style='font-weight: bold;'>cerf​​​</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> Animal ruminant vivant en troupeaux dans les forêts. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Le cerf appartient à la même famille que l'élan ou le caribou.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>deer</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>Animal ruminant vivant en troupeaux dans les forêts.</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>cerf​​​</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Le cerf appartient à la même famille que l'élan ou le caribou.</div>
<div style='font-weight: bold;'>chauve-souris</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div>	<div class=centered-block> Mammifère à ailes membraneuses, qui aime l'obscurité. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>On a longtemps cru que les chauves-souris étaient des vampires.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>bat</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>Mammifère à ailes membraneuses, qui aime l'obscurité.</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nf</div> 	<div style='font-weight: bold;'>chauve-souris</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>On a longtemps cru que les chauves-souris étaient des vampires.</div>
<div style='font-weight: bold;'>mammifère</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div>	<div class=centered-block> Animal vertébré, dont les femelles portent des mamelles. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>L'homme est un mammifère bipède.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>mammal</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>Animal vertébré, dont les femelles portent des mamelles.</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nm</div> 	<div style='font-weight: bold;'>mammifère</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>L'homme est un mammifère bipède.</div>
